State,City,Business Name,Business Id,Stars
NC,Charlotte,Chili Man,3C0bnFhjkgYP9mWORKg6cA,4.94
NC,Charlotte,Yelp's Wing Fling 2019,Cu5oU2dO3JCEQ4XHK0CfbQ,4.93
NC,Charlotte,Skyview Dentistry,XBfvbNHOji_fRyhzO-KuEw,4.92
AZ,Phoenix,Jeremy Schachter & Zac White - Fairway Independent Mortgage,jikjjW1bN0swCMguFazcxg,4.97
AZ,Gilbert,Elite Event: 2019 Yelpies Celebration at SanTan Village,_GdzDB3SU9Ni7mAOQehIXQ,4.96
AZ,Mesa,Heartwood Tree Care,MueAEUT6iqRyOvuIZ5Ixaw,4.96
NV,Las Vegas,IMR Massage,v6dqe7U2MVtaWyHbvtw_tw,4.98
NV,Las Vegas,Drain Busters,URw54F4_FuxU8MR8T_bxpg,4.98
NV,Las Vegas,Desert Diamond Jewelers,TcSGXZhrdJi-1mtwV0POTQ,4.97
IL,Urbana,Champaign-Urbana Adventures in Time & Space,Lwb6bG1Qu3BbW7FJj5suLw,4.9
IL,Champaign,Average Joe Auto Repair,1bgcPZXnzAZvrc6HcBfc7A,4.79
IL,Champaign,Old Time Meat & Deli Shoppe,4hWDMVtfnpyY72_5QMbthA,4.77
PA,Pittsburgh,Simple Gourmet,0OkfU0vDBprsIEd5hWuhAQ,4.91
PA,Pittsburgh,Downtown Pittsburgh Dogs,DtLDAFVH8OyywUw23y86xA,4.88
PA,Pittsburgh,"Carnegie Library of Pittsburgh, Main Library",6G3t042U69yzZ99_yvY3_A,4.88
WI,Madison,Speckled Hen Inn,4ovtrDTXvLK5dDdD09Ecug,4.88
WI,Madison,Speedy Muffler & Brake Center,8pPD7BhiPAq-SC4vSBns1w,4.85
WI,Madison,Hop Head Tours,Vi7DWovv_vnWmxhURiioFw,4.85
SC,Fort Mill,Trox Tech,0aMrF0FaZNGN7zVGx81lDA,4.88
SC,Rock Hill,Ava's Cafe,zd1fJLPz0ZeV4aoSIsRYcg,4.81
SC,Fort Mill,Whits Frozen Custard Of Fort Mill,WokSBO9j1o1iWxlnD4-gIA,4.8
OH,Hudson,Blue Fox Appliance Repair,n83pt3IT2GqJ-OXaabL11w,4.92
OH,Westlake,Eye Candy Optical,pYad8gX0DTOGFDcF5p8dxw,4.86
OH,Cleveland,Sabor Miami Cafe & Gallery,mXaqyzYTqiTc-LrTFAm0Yw,4.85
CA,Las Vegas,Primetime Pet Services,HkoAZYwCVj8R9EGz4aywxg,4.76
CA,Huntington Beach,Beachside Tans,UE_fvET7Aj16w7Cluj7ZGg,4.67
CA,Glendale,Fast 5 Towing,G2ED4IsQKR7nMhUQZOxLmA,4.56
TX,Frisco,Liberty Choice Insurance,zZ3XzaG82sL4OU90Mpp60w,4.56
TX,Dallas,Texas de Brazil,7j5yndEexyQn9cpVXLIIpw,4.18
TX,Phoenix,Omaha Steakhouse,2H9lfg6In0Z5bFi0hbWOIg,3.26
NY,Mooers,Sandi's Kountry Kitchen,jH19V2I9fIslnNhDzPmdkA,4.58
NY,Rouses Point,Lakeside Coffee,f5Pg89x-2xek78E9KHMhNg,4.29
NY,Rouses Point,Gino's Pizza,6ipr7nnwrzf_o3MGD-8nlA,4.21
CO,Centennial,Pizza Hut,Y-omMxOCDSYd7jbo1PSCig,2.14
CO,Macedonia,Pizza Hut,D2RoOb4UkH2azf8DgvNfUA,2.57
GA,Las Vegas,Elite Plumbing,3de3H2nR8RN2TKSJi-vVuQ,4.2
GA,Avondale,Avondale Cleaners,iuaF3WLy4ED12iiJ0GADJg,2.6
GA,East Point,ADT Security Services,Gr4bB2OfHE6OYX48HcaxVw,1.36
AL,Henderson Nevada,"Tiffani Tonkinson, DDS",sbtxQN1-pxyfNr_aVYew9Q,4.43
AL,Chandler,Chevron,6NAWNCgdLHeMh3wHRgu6vw,2.75
AL,Calgary,Mr Pretzels,sSlMkHBYFOMYbrYG5Jg0Bw,3.5
UT,Draper,Lighting Design,Z1Lq5llLEbtkW54JRr7sJw,2.62
UT,Millcreek,Massage Therapy and Reiki By:Cassidy,yYpeC2dEg0PLSVjzxoIyLQ,3.67
VT,Alburgh,Island Tree Service,_WbkQha0xqf2DnYumHAaqg,2.86
VT,Alburg,Ransom Bay Inn B & B,tJRDll5yqpZwehenzE2cSg,4.43
WA,Seattle,Open Aperture Video Production,DHZrZYmh5h7GrgQDl5LwtQ,4.5
WA,Canonsburg,McGrogans Tap Room,GIqiqpvaSLLKVGbp5cmFkA,3.2
WA,Canonsburg,Dollar General,SqWeTQqHL--uksgVcpw_Xw,2.4
NE,Las Vegas,Adam's Court Processing & Judicial Services,NJgEanFCcBPxY5eKyEf2Lg,3.67
NE,Omaha,Homestead Steaks,8ELdE4e05KUeB10ceSQk3A,1.55
MI,Midland,Members First Credit Union ,1UvD251wzNWGpECX1uQmBA,3.4
MI,Grand Rapids,Simple Price Moving,KcuyNq-M2lPmFkhyPk4uAQ,3.5
FL,Cleveland,Pizza Hut,Zn3GV2xa9a-8bHjUM-2sow,1.92
FL,Gilbert,Academy Mortgage Corporation - Gilbert,Od_A8uuN2cc7hWF8Oj1PqQ,4.4
FL,Tampa,Jet Cargo Express,a4_VdKv3O1Ug6TEHRpgocw,2.33
AR,Avondale,La Salsita Taco Shop,pyOHNzoMBJjZyihZPWYtFA,3.45
HI,Wahiawa,Pizza Hut,jSoXCOgEZ97KSaMsbiJdPg,1.98
OR,Salem,Pizza Hut,pp7XScHhSmEHc5k2EsLLcw,2.45
AK,Berea,The Wing Warehouse,WwwYZakdSQM9174gdZdUIA,2.6
VA,Hopewell,Pizza Hut,e4PCkJENurMOxuXd9ZMMPA,1.76
CT,Farmington,Brooks Brothers,Q75WJODIMDC7Y8XRYLDbtQ,3.42
CT,Glendale,Go2lube,6kSvyueHgjLragjJWoAaJg,4.33
MO,Springfield,Menards,3y6ZjuRmK1Jh6_VwBh8VDQ,2.71
